Haw,Cliff,cn
Quinsai,Xingzai,杭州
Uncian,Yongchang,保山
Fugiu,Fuzhou-City,福州
Tebet,Tibet,西藏
Caragian-City,Qarajang-City,大理
Gaindu,Jiandu,西昌
Caiciu,Xiezhou,解州
Saianfu,Xiangyangfu,襄阳
Taidu,Daidu/Khanbaliq,北京
Sindufu,Chengdufu,成都
Singiu,Zhenzhou,仪征
Çaiton,Zayton,泉州
Cuigiu-City,Fuling,涪陵
Iaci,Yachi,昆明
Tundinfu,Dongpingfu,东平
Choncha,Fuzhou-Kingdom,江浙行省
Ciangiu,Changzhou,常州
Quengianfu,Chang'anfu,西安
Sugiu,Suzhou,苏州
Caigiu,Guazhou,邗江
Singiu Matu,Xinzhou Matou,济宁
Tingiu,Tingzhou,长汀
Quenlinfu,Jianningfu,建瓯
Cianglu,Changlu,沧州
Yangiu,Yangzhou,扬州
Cinghianfu,Zhenjiangfu,镇江
Cacanfu,Hejianfu,河间
Coigangiu,Huai'anzhou,淮安
cuncun,Guangyuan,广元
Vuguen,Houguan,闽侯
Achbaluch,Aq-Baliq,正定
Acbalec Mangi,Aq-Baliq Manzi,汉中
Lingiu,Liucheng,Lingiu[2]
Taianfu,Taiyuanfu,太原
Paughin,Baoying,宝应
Namghin,Anqing,安庆
Tigiu,Taizhou,泰州
Ciangli,Jiangling,德州
Gampu,Ganpu,澉浦
Cauyu,Gaoyou,高邮
Cianscian,Suichang,遂昌
Cacionfu,Hezhongfu,蒲州
Pingiu,Pizhou,古邳
Ghiugiu,Quzhou,衢州
Ciugiu,Suqian,宿迁
Tanpigiu,Tonglu,桐庐
Cingiu,Tongzhou,南通
Ciangan,Changxing,长兴
Giogiu,Zhuozhou,涿州
Vughin,Wuxing,湖州
Cugiu,Chuzhou,丽水
Viugiu[1],Wuzhou,金华
Vugiu[1],Wujiang,吴江
Pianfu,Pingyangfu,临汾
Çardandan,Zardandan,保山
Cuigiu,Kuizhou,奉节
Caguy,Huaiyin,淮阴
Caragian-Kingdom,Qarajang-Kingdom,Caragian-Kingdom[2]
