Location,Religion,Specialty,Industry,Region,Currency,Funeral,Word,Parent
origin,,,,,,,,
Xingzai,"idolaters,nestorian christian","silk,hot bath,salt,sugar","trade,prostitute,astrologer,doctor,literati,artisans,craft,military,salt,sugar",Manzi,paper money,,4904,origin
Yongchang,idolaters,wine with rice and spices,,,"gold, cowries",,2759,origin
Fuzhou-City,"idolaters,christian","vessel,papiones,geese,lion,sugar,stones(pearl)","trade,craft,military,shipbuilding",Manzi,,,1694,origin
Qarajang,idolaters,"gold,Huge snakes and serpents,horse",,,white cowries,,1283,origin
Jiandu,idolaters,"pearls, turquoise, musk, fish,wild animals,wine with rice and spices, cloves, spices",,,"gold bars, salt blocks",,1179,origin
Xiezhou,,,,,,,921,origin
Xiangyangfu,idolaters,"silk,animals","trade,handicraft",,paper money,burn the bodies of the dead,862,origin
Daidu,,,,,,,761,origin
Chengdufu,idolaters,"wild animals,sendal","farming, industry",on the border,,,612,origin
Zhenzhou,idolaters,salt,"shipping,trade",,paper money,,536,origin
Zayton,idolaters ,,"trade,craft,shipping",,,,521,origin
Fuling,idolaters,"cloths made from bark, lions,silk","trade, crafts",,paper money(For let me say that from now on we are in the lands where the Great Khan’s paper money circulates),,492,origin
